Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population),is_federal_level
Robbery without violence,Republic of North Ossetia-Alania,2008,386.0,54.3,False
Robbery without violence,Chechen Republic,2008,25.0,2.1,False
Robbery without violence,Stavropol Krai,2008,1747.0,63.3,False
Robbery without violence,Republic of Adygea,2008,251.0,57.3,False
Robbery without violence,Republic of Kalmykia,2008,207.0,71.0,False
Robbery without violence,Republic of Crimea,2008,,,False
Robbery without violence,Krasnodar Krai,2008,2643.0,51.1,False
Robbery without violence,Astrakhan Oblast,2008,1749.0,173.9,False
Robbery without violence,Volgograd Oblast,2008,3283.0,125.2,False
Robbery without violence,Rostov Oblast,2008,5570.0,129.6,False
Robbery without violence,Sevastopol,2008,,,False
Robbery without violence,Republic of Bashkortostan,2008,3677.0,90.7,False
Robbery without violence,Mari El Republic,2008,2469.0,350.2,False
Robbery without violence,Republic of Mordovia,2008,378.0,44.4,False
Robbery without violence,Republic of Tatarstan,2008,4651.0,123.5,False
Robbery without violence,Udmurt Republic,2008,5600.0,365.3,False
Robbery without violence,Chuvash Republic,2008,1653.0,130.9,False
Robbery without violence,Perm Krai,2008,11810.0,441.7,False
Robbery without violence,Kirov Oblast,2008,1212.0,87.9,False
Robbery without violence,Nizhny Novgorod Oblast,2008,9265.0,275.5,False
Robbery without violence,Orenburg Oblast,2008,2642.0,128.5,False
Robbery without violence,Penza Oblast,2008,1114.0,79.3,False
Robbery without violence,Samara Oblast,2008,8550.0,265.5,False
Robbery without violence,Saratov Oblast,2008,3161.0,123.6,False
Robbery without violence,Ulyanovsk Oblast,2008,1742.0,132.3,False
Robbery without violence,Kurgan Oblast,2008,1321.0,141.4,False
Robbery without violence,Sverdlovsk Oblast,2008,11963.0,276.9,False
Robbery without violence,Tyumen Oblast,2008,4175.0,317.4,False
Robbery without violence,Khanty–Mansi Autonomous Okrug – Yugra,2008,2111.0,141.6,False
Robbery without violence,Yamalo-Nenets Autonomous Okrug,2008,333.0,63.5,False
Robbery without violence,Chelyabinsk Oblast,2008,8738.0,250.4,False
Robbery without violence,Altai Republic,2008,233.0,114.7,False
Robbery without violence,Republic of Buryatia,2008,2576.0,266.9,False
Robbery without violence,Tuva Republic,2008,357.0,117.5,False
Robbery without violence,Republic of Khakassia,2008,761.0,143.2,False
Robbery without violence,Altai Krai,2008,4817.0,196.3,False
Robbery without violence,Zabaykalsky Krai,2008,1823.0,164.0,False
Robbery without violence,Krasnoyarsk Krai,2008,5335.0,188.0,False
Robbery without violence,Irkutsk Oblast,2008,11137.0,453.6,False
Robbery without violence,Kemerovo Oblast,2008,8979.0,323.0,False
Robbery without violence,Novosibirsk Oblast,2008,6927.0,262.1,False
Robbery without violence,Omsk Oblast,2008,2553.0,128.1,False
Robbery without violence,Tomsk Oblast,2008,2836.0,276.3,False
Robbery without violence,Sakha (Yakutia) Republic,2008,2026.0,211.3,False
Robbery without violence,Kamchatka Krai,2008,232.0,70.7,False
Robbery without violence,Primorsky Krai,2008,5310.0,268.5,False
Robbery without violence,Khabarovsk Krai,2008,4658.0,343.8,False
Robbery without violence,Amur Oblast,2008,1582.0,187.4,False
Robbery without violence,Magadan Oblast,2008,188.0,114.6,False
Robbery without violence,Sakhalin Oblast,2008,831.0,163.1,False
Robbery without violence,Jewish Autonomous Oblast,2008,256.0,143.2,False
Robbery without violence,Chukotka Autonomous Okrug,2008,24.0,45.4,False
Robbery with violence,Russian Federation,2008,35366.0,24.8,True
Robbery with violence,Belgorod Oblast,2008,121.0,8.0,False
Robbery with violence,Bryansk Oblast,2008,155.0,11.9,False
Robbery with violence,Vladimir Oblast,2008,373.0,25.4,False
Robbery with violence,Voronezh Oblast,2008,419.0,17.9,False
Robbery with violence,Ivanovo Oblast,2008,219.0,20.3,False
Robbery with violence,Kaluga Oblast,2008,274.0,26.9,False
Robbery with violence,Kostroma Oblast,2008,100.0,14.6,False
Robbery with violence,Kursk Oblast,2008,122.0,10.6,False
Robbery with violence,Lipetsk Oblast,2008,106.0,8.9,False
Robbery with violence,Moscow Oblast,2008,2152.0,31.2,False
Robbery with violence,Oryol Oblast,2008,126.0,15.6,False
Robbery with violence,Ryazan Oblast,2008,135.0,11.5,False
Robbery with violence,Smolensk Oblast,2008,222.0,22.0,False
Robbery with violence,Tambov Oblast,2008,99.0,8.9,False
Robbery with violence,Tver Oblast,2008,383.0,27.6,False
Robbery with violence,Tula Oblast,2008,229.0,14.4,False
Robbery with violence,Yaroslavl Oblast,2008,405.0,31.3,False
Robbery with violence,Moscow,2008,4650.0,41.6,False
Robbery with violence,Republic of Karelia,2008,115.0,17.4,False
Robbery with violence,Komi Republic,2008,163.0,17.4,False
Robbery with violence,Arkhangelsk Oblast,2008,330.0,27.2,False
Robbery with violence,Nenets Autonomous Okrug,2008,4.0,9.5,False
Robbery with violence,Vologda Oblast,2008,345.0,28.3,False
Robbery with violence,Kaliningrad Oblast,2008,136.0,14.5,False
